"Last  4809","JAIN SLEE 1.0 API Javadoc Assertions",,,,,,"T?: 0","High:174","1376 (ex methods)",22,168,354,24,24,318,,449,0,0,3
3144,,,"2.1.3.1","Pfd2","Repeat","752",,,"The initial event selector method is invoked on an SBB object in the pooled state.",,,,,,,,,,,
3145,,,"2.1.3.1","Pfd2","Context",,,,"It allows the SBB to determine the selection criteria for the convergence name variables used in event routing.",,,,,,,,,,,
3146,,,"2.1.3.1","Pfd2","Assertion",,,"Low","The initial event select method has the following signature: public InitialEventSelector <method-name>(InitialEventSelector is) { ... }",,,,,,,,,,,
3147,,,"2.1.3.3","Pfd2","Assertion",,,"Low","Initial event selector methods are invoked on the SBB in the Pooled state with an unspecified transaction context.",,,,,,,,,,,
3148,,,"2.2","Pfd2","Context",,,,"Methods invoked by SBB objects.",,,,,,,,,,,
3149,,,"2.2","Pfd2","Repeat","632, 413, 402, 95, 98",,,"These are all abstract  and are implemented by the SLEE  when the SBB is deployed.",,,,,,,,,,,
3150,,,"2.2","Pfd2","Impossible",,,,"These methods are all transactional and will throw javax.slee.TransactionRequiredLocalException if invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3151,,,"2.2","Pfd2","Covered"," 419, 560,408",,,"Additionally, methods other than CMP field accessors  can only be invoked by an SBB object  that has been assigned to an SBB entity.",,,,,,,,,,,
3152,,,"2.2","Pfd2","Covered"," 419, 560,408",,,"If the SBB object is not assigned to an SBB entity, a java.lang.IllegalStateException is thrown.",,,,,,,,,,,
3153,,,"2.2","Pfd2","Impossible",,,,"These methods may also throw javax.slee.SLEEException if the operation could not successfully completed due to a system-level failure.",,,,,,,,,,,
3154,,,"2.2.1.1","Pfd2","Repeat","393",,,"A CMP field is defined in the SBB abstract class using methods with the following signatures: public abstract void set<field-name>(<field-type> value); public abstract <field-type> get<field-name>();",,,,,,,,,,,
3155,,,"2.2.1.1","Pfd2","Repeat","393",,,"field-name is the name of the CMP field as declared in the SBB's deployment descriptor, with the first letter capitalized.",,,,,,,,,,,
3156,,,"2.2.2.1","Pfd2","Assertion",,,"Low","Methods that the SBB uses to fire events into the SLEE are defined in the SBB abstract class with the following signature: public abstract void fire<event-name>(<event-class-name> event, ActivityContextInterface aci, Address defaultAddress).",,,,,,,,,,,
3157,,,"2.2.3.1","Pfd2","Ap Req",,,"Low","This method only need be defined in the SBB abstract class if the SBB uses an Activity Context Interface other than javax.slee.ActivityContextInterface. ",,,,,,,,,,,
3158,,,"2.2.3.1","Pfd2","Context",,,,"This method allows the SBB to obtain an object that implements the SBB's Activity Context Interface from an object that implements the generic javax.slee.ActivityContextInterface.",,,,,,,,,,,
3159,,,"2.2.3.1","Pfd2","Assertion",,,"Low","If declared, the method's signature must be: public abstract <activity-context-interface-name> asSbbActivityContextInterface(ActivityContextInterface aci).",,,,,,,,,,,
3160,,,"2.2.4.1","Pfd2","Repeat","413,414,415,416",,,"For each child relation the SBB has, a method with the following signature must be declared: public abstract ChildRelation <method-name> ().",,,,,,,,,,,
3161,,,"2.2.5.1","Pfd2","Assertion",,,"Low","For each Profile Specification used by the SBB, the SBB abstract class may declare a method with the following signature: public abstract <profile-CMP-interface-name> <method-name> (ProfileID id) throws javax.slee.profile.UnrecognizedProfileTableNameException, javax.slee.UnrecognizedProfileNameException.",,,,,,,,,,,
4542,,,,,"Context",,,,"Usage Parameter Interface accessor methods:",,,,,,,,,,,
4543,,,,,"Ap Req",,,"Low","These two methods are only defined in the SBB abstract class if the SBB defines a Usage Parameter interface.",,,,,,"Define these two methods in an SBB abstract class that does not define a Usage Parameter interface in its XML.  Verify that the SBB cannot be deployed.",,,,,
4544,,,,,"Covered","2253,2254",,,"The first method provides access to the SBB's unnamed usage parameter set while the second provides access to a named usage parameter set.",,,,,,,,,,,
4545,,,,,"Ap Req",,,"Low","public abstract <usage-parameters-interface-name> <method-name>;",,,,,,,,,,,
4546,,,,,"Ap Req",,,"Low","public abstract <usage-parameters-interface-name> <method-name>(String paramSetName) throws javax.slee.usage.UnrecognizedUsageParameterSetNameException;",,,,,,,,,,,
4547,,,,,"Ap Req",,,"Low","where usage-parameters-interface-name is the name of the SBB's usage parameter interfac",,,,,,,,,,,
4548,,,,,"Ap Req",,,"Low","where method-name is the name of the usage parameter accessor method as defined in the SBB's deployment descriptor.",,,,,,,,,,,
3162,"javax.slee.Sbb","setSbbContext",,"Pfd2","Method",340,,,,,,,,,,,"Complete",,,
3163,,,"1","Pfd2","Repeat",340,,,"Set the SbbContext object for the SBB object.  The SLEE invokes this method immediately after a new SBB object has been created.",,,,,,,,,,,
3164,,,"1","Pfd2","Ap Recom",,,,"If the SBB needs to use the SbbContext object during its lifetime, it should store the SbbContext object reference in an instance variable.",,,,,,,,,,,
3165,,,"2 ","Pfd2","Assertion",,,"Low","This method is invoked with an unspecified transaction context.",,,,,,,,,,,
3166,,,"2 ","Pfd2","Assertion",,,"High","The SBB object cannot access its persistent CMP state or invoke mandatory transactional methods during this method invocation.",,,"Test3166Test",,,"Try to access CMP state with setSbbContext(), and check that an Exception or an Error is thrown.","Cath","Complete",,,
3167,"javax.slee.Sbb","unsetSbbContext",,"Pfd2","Method","(not testable)",,,,,,,,,,,,,,
3168,,,"1","Pfd2","Context",,,,"Unset the SBB context for the SBB object.",,,,,,,,,,,
3169,,,"1","Pfd2","Ap Recom",,,,"If the SBB stored a reference to the SbbContext object  given to it in the setSbbContext(javax.slee.SbbContext) method, the SBB should clear that reference during this method.",,,,,,,,,,,
3170,,,"2 ","Pfd2","Impossible",,,,"This is the last method invoked on an SBB before it becomes a candidate for garbage collection.",,"See notes for 353",,,,,,,,,
3171,,,"3","Pfd2","Impossible",,,,"This method is invoked with an unspecified transaction context.",,"See notes for 353",,,,,,,,,
3172,,,"3","Pfd2","Ap Recom",,,,"The SBB object cannot access its persistent CMP state or invoke mandatory transactional methods during this method invocation.",,,,,,,,,,,
3173,"javax.slee.Sbb","sbbCreate",,"Pfd2","Method","360",,,,,,,,,,,,,,
3174,,,"1","Pfd2","Context",,,,"The SLEE invokes this method on an SBB object in the Pooled state when it needs to create a new SBB entity.  ",,,,,,,,,,,
3175,,,"1","Pfd2","Impossible",,,,"This method is invoked before the persistent representation of the SBB entity is created.",,"There is no API for accessing the persistence layer. ",,,,,,,,,
3176,,,"1","Pfd2","Impossible",,,,"The persistent representation of the SBB entity is created after this method returns.",,"There is no API for accessing the persistence layer. ",,,,,,,,,
3177,,,"2 ","Pfd2","Context",,,,"The SBB entity typically initializes its CMP state during this method.",,,,,,,,,,,
3178,,,"2 ","Pfd2","Repeat",360,,,"The SLEE guarantees that the initial values returned from CMP accessor methods will be the default initial values as defined by the Java language.",,,,,,,,,,,
3179,,,"3","Pfd2","Repeat","361",,,"This method is invoked with an active transaction context.",,,,,,,,,,,
3180,,,"4.1","Pfd2","Self-Evident",,,,"CreateException - this exception may be thrown by the SBB code if the SBB entity could not be created successfully.",,,,,,,,,,,
3181,"javax.slee.Sbb","sbbPostCreate",,"Pfd2","Method","363,3184",,,,,,,,,,,,,,
3182,,,"1","Pfd2","Context",,,,"The SLEE invokes this method on an SBB object in the Pooled state when it needs to create a new SBB entity. ",,,,,,,,,,,
3183,,,"1","Pfd2","Repeat",363,,,"This method is invoked after the persistent representation of the SBB entity has been created.",,,,,,,,,,,
4690,,,"1","Pfd3","Repeat",2458,,,"The SBB object enters the Ready state after this method returns successfully.  ",,,,,,,,,,,
4691,,,"1","Pfd3","Repeat",2459,,,"If this method throws an exception the SBB object does not enter the Ready state.",,,,,,,,,,,
3184,,,"2 ","Pfd2","Repeat","367",,,"This method is invoked with the same transaction context that the corresponding sbbCreate() method was invoked with.",,,,,,,,,,,
3185,,,"3.1","Pfd2","Self-Evident",,,,"CreateException - this exception may be thrown by the SBB code if the SBB entity could not be created successfully.",,,,,,,,,,,
3186,"javax.slee.Sbb","sbbActivate",,"Pfd2","Method","(not testable)",,,,,,,,,,,,,,
3187,,,"1","Pfd2","Context",,,,"The SLEE invokes this method on an SBB object in the Pooled state when the SLEE reassigns the SBB object to an existing SBB entity.  This method gives the SBB object a chance to initialize additional transient state and acquire additional resources that it needs while it is in the Ready state.",,,,,,,,,,,
3188,,,"1","Pfd2","Impossible",,,,"The SBB object transitions from the Pooled state to the Ready state after this method returns.",,"There is no SLEE API for testing which state the Sbb object is in.",,,,,,,,,
3189,,,"2 ","Pfd2","Assertion",,,"Low","This method is invoked with an unspecified transaction context.",,,,,,,,,,,
3190,,,"2 ","Pfd2","Assertion",,,"Low","The SBB object cannot access its persistent CMP state or invoke mandatory transactional methods during this method invocation.","Exception?",,,,,,,,,,
3191,"javax.slee.Sbb","sbbPassivate",,"Pfd2","Method","(not testable)",,,,,,,,,,,,,,
3192,,,"1","Pfd2","Context",,,,"The SLEE invokes this method on an SBB object in the Ready state when the SLEE needs to reclaim the SBB object assigned to an SBB entity.  This method gives the SBB object a chance to release any state or resources, typically allocated during the sbbActivate() method, that should not be held while the SBB object is in the Pooled state.",,,,,,,,,,,
3193,,,"2 ","Pfd2","Assertion",,,"Low","This method is invoked with an unspecified transaction context.",,,,,,,,,,,
3194,,,"2 ","Pfd2","Assertion",,,"Low","The SBB object cannot access its persistent CMP state or invoke mandatory transactional methods during this method invocation.","Exception?",,,,,,,,,,
3195,"javax.slee.Sbb","sbbLoad",,"Pfd2","Method",378,,,,,,,,,,,,,,
3196,,,"1","Pfd2","Context",,,,"The SLEE invokes this method on an SBB entity when the state of the SBB entity needs to be sychronized with the state in the underlying data source.",,,,,,,,,,,
3197,,,"1","Pfd2","Context",,,,"The SBB entity should reload from CMP fields any transient state that depends on the state stored in those CMP fields.",,,,,,,,,,,
3198,,,"2 ","Pfd2","Repeat","378",,,"This method is invoked with an active transaction context.",,,,,,,,,,,
3199,"javax.slee.Sbb","sbbStore",,"Pfd2","Method",379,,,,,,,,,,,,,,
3200,,,"1","Pfd2","Repeat","379",,,"The SLEE invokes this method on an SBB entity when the state of the underlying data source needs to be sychronized with the state of the SBB entity.",,,,,,,,,,,
3201,,,"1","Pfd2","Ap Recom",,,,"The SBB entity should store into CMP fields any transient state that  depends on the state stored in those CMP fields.",,,,,,,,,,,
3202,,,"2 ","Pfd2","Repeat","380",,,"This method is invoked with an active transaction context.",,,,,,,,,,,
3203,"javax.slee.Sbb","sbbRemove",,"Pfd2","Method","3207,3208,3209",,,,,,,,,,,,,,
3204,,,"1","Pfd2","Context",,,,"The SLEE invokes this method on an SBB entity when the SBB entity is going to be removed.",,,,,,,,,,,
3205,,,"1","Pfd2","Assertion",,,"Low","An SBB entity can be removed by its parent SBB or by the SLEE when the Service instance the SBB entity executing on behalf of is removed.",,,,,,,,,,,
3206,,,"1","Pfd2","Ap Recom",,,,"Any resources obtained by the SBB during sbbCreate(), sbbPostCreate(), or sbbActivate() should be released by the SBB object.",,,,,,,,,,,
3207,,,"1","Pfd2","Impossible",,,,"The SBB object transitions to the Pooled state after this method returns.",,"There is no SLEE API for testing which state the Sbb object is in.",,,,,,,,,
3208,,,"2 ","Pfd2","Covered","376",,,"This method is invoked with an active transaction context.",,,,,,,,,,,
3209,,,"2 ","Pfd2","Assertion",,,"High","If the remove operation was initiated by a parent SBB entity, the transaction context is the same as the transaction context in effect when the remove operation was initiated.",,,"Test376Test",,,"Modify Test376 to have a childSbbLocalObject that gives access to a CMP field on the child to store the parent TXN id before sbbRemove() is called - and verify that the TXN id in sbbRemove() is the same as this.","Cath","Complete",,,
3210,"javax.slee.Sbb","sbbServiceDeactivated",,"Pfd2","Removed",,,,,,,,,,,,,,,
3211,,,"1","Pfd2","Removed",,,,"The SLEE invokes this method on an SBB entity when the Service that the SBB entity is executing on behalf of is deactivated by the Administrator.",,,,,,,,,,,
3212,,,"1","Pfd2","Removed",,,,"The SBB entity should gracefully treminate further processing on any attached activities so that instances of the deactivated Service can be removed in a timely manner.",,,,,,,,,,,
