"Last: 2510","JAIN SLEE 1.0 Technical Specification Assertions",,,,,"T?: 0",,9,306,503,74,90,462,"Active: 1"
138,"3.1.8","1.6.1.2.2.6.1","Pfd3","Ap Req",,,"Each get Profile CMP method declared in the SBB abstract class must be identified by a get-profile-cmp-method element.",,,,,,,
139,"3.1.8","1.6.1.2.2.6.1.1","Pfd3","DD Structure",,,"Each get-profile-cmp-method element contains an optional description element.",,,,,,,
140,"3.1.8","1.6.1.2.2.6.1.2","Pfd3","DD Structure",,,"Each get-profile-cmp-method element contains a profile-spec-alias-ref element.",,,,,,,
141,"3.1.8","1.6.1.2.2.6.1.3","Pfd3","DD Structure",,,"Each get-profile-cmp-method element contains a get-profile-cmp-method-name element.",,,,,,,
2163,"3.1.8","1.6.1.2.2.6.2.1",,"Removed",,,"The sbb-abstract-class element contains a get-sbb-usage-parameter-method element.",,,,,,,
2164,"3.1.8","1.6.1.2.2.6.2.1.1",,"Removed",,,"This is an optional element. This element must not be present if the sbb-usage-parameter-interface element is not present. If the SBB abstract class declares one or more methods used to get objects that implement the SBB Usage Parameter interface, then this element must be present.",,,,,,,
2165,"3.1.8","1.6.1.2.2.6.2.1.1",,"Removed",,,"The get-sbb-usage-parameter-method element contains a description element.",,,,,,,
2166,"3.1.8","1.6.1.2.2.6.2.1.2",,"Removed",,,"The get-sbb-usage-parameter-method element contains a get-sbb-usage-parameter-method-name element.",,,,,,,
2167,"3.1.8","1.6.1.2.2.6.2.1.2",,"Removed",,,"This element specifies the name of the methods used to get objects that implement the SBB Usage Parameter interface. ",,,,,,,
142,"3.1.8","1.6.1.3","Pfd2","DD Structure",,,"The sbb-classes element contains an sbb-local-interface element.",,,,,,,
143,"3.1.8","1.6.1.3.1.1","Pfd2","DD Structure",,,"The sbb-local-interface element contains an optional description element.",,,,,,,
144,"3.1.8","1.6.1.3.1.2","Pfd2","DD Structure",,,"The sbb-local-interface element contains an sbb-local-interface-name element.",,,,,,,
145,"3.1.8","1.6.1.4","Pfd2","DD Structure",,,"The sbb-classes element contains an sbb-activity-context-interface element.",,,,,,,
146,"3.1.8","1.6.1.4.1.1","Pfd2","DD Structure",,,"The sbb-activity-context-interface element contains an optional description element.",,,,,,,
147,"3.1.8","1.6.1.4.1.2","Pfd2","DD Structure",,,"The sbb-activity-context-interface element contains an sbb-activity-context-interface-name element.",,,,,,,
2168,"3.1.8","1.6.1.5","Pfd3","DD Structure",,,"The sbb-classes element contains an sbb-usage-parameter-interface element.",,,,,,,
2169,"3.1.8","1.6.1.5.1","Pfd3","DD Structure",,,"This element is optional. If the SBB defines an SBB Usage Parameters interface, this element identifies the SBB Usage Parameters interface. It contains the following sub-elements:",,,,,,,
2170,"3.1.8","1.6.1.5.1.1","Pfd3","DD Structure",,,"The sbb-usage-parameter-interface contains an optional description element.",,,,,,,
2171,"3.1.8","1.6.1.5.1.2","Pfd3","DD Structure",,,"The sbb-usage-parameter-interface element contains an sbb-usage-parameter-interface-name element.",,,,,,,
148,"3.1.8","1.7","Pfd2","DD Structure",,,"The sbb-element contains an address-profile-spec-alias-ref element.",,,,,,,
149,"3.1.8","1.8","Pfd2","DD Structure",,,"The sbb-element contains zero or more event elements.",,,,,,,
150,"3.1.8","1.8.1","Pfd2","Ap Req",,,"Each event type that the SBB may receive or fire must have on event element (see Section 8.1).",,,,,,,
151,"3.1.8","1.8.1.1","Pfd2","DD Structure",,,"An event element contains an initial-event attribute.",,,,,,,
152,"3.1.8","1.8.1.2","Pfd2","DD Structure",,,"An event element contains an event-direction attribute.",,,,,,,
153,"3.1.8","1.8.1.2.1","Pfd2","DD Structure",,,"The value of the event-direction attribute must be ""Fire"", ""Receive"" or ""FireAndReceive"".",,,,,,,
154,"3.1.8","1.8.1.2.1","Pfd2","DD Structure",,,"If initial-event is true, then event-direction must be either ""Receive"" or ""FireAndReceive"".",,,,,,,
155,"3.1.8","1.8.1.3","Pfd2","DD Structure",,,"An event element contains a mask-on-attach attribute.",,,,,,,
156,"3.1.8","1.8.1.4","Pfd2","DD Structure",,,"An event element contains an optional description element.",,,,,,,
157,"3.1.8","1.8.1.5","Pfd2","DD Structure",,,"An event element contains an event-type-ref element.",,,,,,,
158,"3.1.8","1.8.1.5.1.1","Pfd2","DD Structure",,,"An event-type-ref element contains an event-type-name element, an event-type-vendor element, and an event-type version element.  ",,,,,,,
159,"3.1.8","1.8.1.5.1.1","Pfd2","Context",,,"These elements uniquely identify an event type declared in an event-definition element specified in another deployment descriptor.",,"The uniqueness is tested by 1539",,,,,
160,"3.1.8","1.8.1.6","Pfd2","DD Structure",,,"An event element contains an event-name element.",,,,,,,
161,"3.1.8","1.8.1.7","Pfd2","DD Structure",,,"An event element contains zero or more initial-event-select elements.",,,,,,,
162,"3.1.8","1.8.1.7.1.1","Pfd2","DD Structure",,,"An initial-event-select element has a variable attribute.",,,,,,,
163,"3.1.8","1.8.1.7.1.1.1","Pfd2","DD Structure",,,"The value of the variable attribute can be one of ""ActivityContext"", ""AddressProfile"", ""Address"", ""EventType"" or ""Event"".",,,,,,,
164,"3.1.8","1.8.1.8","Pfd2","DD Structure",,,"An event element contains an initial-event-selector-method-name element.",,,,,,,
165,"3.1.8","1.8.1.8.1","Pfd2","Context",,,"The initial-event-selector-method-name element is only meaningful if initial-event is true.",,,,,,,
166,"3.1.8","1.8.1.9","Pfd2","DD Structure",,,"An event element contains an event-resource-option element.",,,,,,,
167,"3.1.8","1.9","Pfd2","DD Structure",,,"The sbb-element contains zero or more activity-context-attribute-alias elements.",,,,,,,
168,"3.1.8","1.9.1.1","Pfd2","DD Structure",,,"The activity-context-attribute-alias element contains an optional description element.",,,,,,,
169,"3.1.8","1.9.1.2","Pfd2","DD Structure",,,"The activity-context-attribute-alias element contains an attribute-alias-name element.",,,,,,,
170,"3.1.8","1.9.1.2.1","Pfd2","Assertion",,,"The attribute-alias-name is globally scoped.  If two or more activity-context-attribute-alias elements specify the same attribute-alias-name, all the attributes specified by their sbb-activity-context-attribute elements are aliased.",,,"Test170Test",,,"Create SBB with two activity-context-attribute-alias elements with the same alias, one containing aValue, the other containing bValue and cValue.  Set via aValue and verify that getbvalue and getcvalue return the set value.","Complete"
171,"3.1.8","1.9.1.3","Pfd2","DD Structure",,,"The activity-context-attribute-alias contains one or more sbb-activity-context-attribute elements.",,,,,,,
172,"3.1.8","1.9.1.3.1.1","Pfd2","DD Structure",,,"The sbb-activity-context-attribute element contains an sbb-alias-ref element.",,,,,,,
173,"3.1.8","1.9.1.3.1.2","Pfd2","DD Structure",,,"The sbb-activity-context-attribute element contains an sbb-activity-context-attribute-name element.",,,,,,,
174,,,"Pfd3","Removed",,,"The sbb-element contains zero or more usage-parameter elements (see Section 12.5).",,,,,,,
175,,,"Pfd3","Removed",,,"The usage-parameter element contains an optional description element.",,,,,,,
176,,,"Pfd3","Removed",,,"The usage-parameter element contains an env-entry-name element.",,,,,,,
177,,,"Pfd3","Removed",,,"The usage-parameter element contains an env-entry-value element.",,,,,,,
178,,,"Pfd3","Removed",,,"The usage-parameter element contains an env-entry-type element.",,,,,,,
179,"3.1.8","1.10","Pfd3","DD Structure",,,"The sbb-element contains zero or more resource-adaptor-type-binding elements.",,,,,,,
180,"3.1.8","1.10.1.1","Pfd3","DD Structure",,,"The resource-adaptor-type-binding element contains an optional description element.",,,,,,,
181,"3.1.8","1.10.1.2","Pfd3","DD Structure",,,"The resource-adaptor-type-binding element contains a resource-adaptor-type-ref element.",,,,,,,
182,"3.1.8","1.10.1.2.1.1","Pfd3","DD Structure",,,"The resource-adaptor-type-ref element contais a resource-adaptor-type-name element, a resource-adaptor-type-vendor element, and a resource-adaptor-version-element.  ",,,,,,,
183,"3.1.8","1.10.1.2.1.1","Pfd3","Ap Req",,,"These elements uniquely identify the resource adaptor type, and must match exactly the corresponding resource-adaptor-type-name, resource-adaptor-type-vendor, and resource-adaptor-type-version elements specified in the resource adaptor type's resource-adaptor-type element.",,,,,,,
184,"3.1.8","1.10.1.3","Pfd3","DD Structure",,,"The resource-adaptor-type-binding element contains an activity-context-interface-factory-name element.",,,,,,,
185,"3.1.8","1.10.1.4","Pfd3","DD Structure",,,"The resource-adaptor-type-binding element contains zero or more resource-adaptor-entity-binding elements.",,,,,,,
186,"3.1.8","1.10.1.4.1.1","Pfd3","DD Structure",,,"Each resource-adaptor-entity-binding element contains an optional description element.",,,,,,,
187,"3.1.8","1.10.1.4.1.2","Pfd3","DD Structure",,,"Each resource-adaptor-entity-binding element contains a resource-adaptor-object-name element.",,,,,,,
188,"3.1.8","1.10.1.4.1.3","Pfd3","DD Structure",,,"Each resource-adaptor-entity-binding element contains a resource-adaptor-entity-link element.",,,,,,,
189,"3.1.8","1.10.1.4.1.3.1","Pfd3","Ap Req",,,"The identified resource adaptor entity must be an instance of a resource adaptor whose resource adaptor type is specified by the resource-adaptor-type-ref sub-element of the enclosing resource-adaptor-type-binding element.",,,,,,,
190,"3.1.8","1.11","Pfd3","DD Structure",,,"The sbb-element contains zero or more ejb-ref elements.",,,,,,,
191,"3.1.8","1.11.2.1","Pfd3","DD Structure",,,"Each ejb-ref element contains an optional description element.",,,,,,,
192,"3.1.8","1.11.2.2","Pfd3","DD Structure",,,"Each ejb-ref element contains an ejb-ref-name element.",,,,,,,
193,"3.1.8","1.11.2.3","Pfd3","DD Structure",,,"Each ejb-ref element contains an ejb-ref-type element.",,,,,,,
194,"3.1.8","1.11.2.4","Pfd3","DD Structure",,,"Each ejb-ref element contains a home element.",,,,,,,
195,"3.1.8","1.11.2.5","Pfd3","DD Structure",,,"Each ejb-ref element contains a remote element.",,,,,,,
196,"3.1.8","1.11.2.6","Pfd3","DD Structure",,,"Each ejb-ref element contains an ejb-link element.",,,,,,,
197,"3.1.9","1","Pfd2","Ap Recom",,,"To ease distribution and deployable unit assembly, the SLEE specification recommends thaht the SBB Developer distribute these files using an SBB jar file that can be incorporated into a deployable unit.  ",,,,,,,
198,"3.1.9","1","Pfd2","Context",,,"The SBB jar file contains the SBB's Java classes and deployment descriptor.",,,,,,,
199,"3.1.10","1.1","Pfd2","Ap Req",,,"The SBB jar file must include an SBB jar deployment descriptor.",,,,,,,
200,"3.1.10","1.1.1","Pfd2","Ap Req",,,"The SBB jar deployment descriptor is stored with the name META-INF/sbb-jar.xml.",,,,,,,
201,"3.1.10","1.1.2","Pfd2","DD Structure",,,"The root element of the SBB jar deployment descriptor is an sbb-jar element.",,,,,,,
202,"3.1.10","1.1.2.1","Pfd2","DD Structure",,,"The sbb-jar element contains an optional description element.",,,,,,,
203,"3.1.10","1.1.2.2","Pfd2","DD Structure",,,"The sbb-jar element contains one or more sbb elements.",,,,,,,
204,"3.1.10","1.2","Pfd2","Ap Req",,,"The SBB jar file must include class files of the SBBs specified by the sbb elements of the sbb-jar element.",,,,,,,
205,"3.1.10","1.2.1","Pfd2","Ap Req",,,"The SBB jar file must contain, either by inclusion or by reference the class files of each SBB.",,,,,,,
206,"3.1.10","1.2.2","Pfd2","Ap Req",,,"The SBB jar file must also contain, either by inclusion or by reference, the class files for all the classes and interfaces that the SBB's classes and interfaces depend on, except J2SE classes, SLEE classes, classes included in the SBB jar files of referenced SBBs of the SBBs, classes included in the event jar files of the event types referenced by the SBBs, classes included in the Profile Specification jar files of the Profile Specifications referenced by the SBBs, classes included in the resource adaptor type jar files referenced by the SBBs.  This includes their superclasses and superinterfaces, dependent classes, and the classes and interfaces used as method parameters, results and exceptions.",,,,,,,
207,"3.2.1","1","Pfd2","Ap Req",,,"Each custom event type must have an event definition deployment descriptor.",,,,,,,
208,"3.2.1","1","Pfd2","DD Structure",,,"Each event definition deployment descriptor contains an event-definition element.",,,,,,,
209,"3.2.1","1.1","Pfd2","DD Structure",,,"Each event-definition element contains an optional descripton element.",,,,,,,
210,"3.2.1","1.2","Pfd2","DD Structure",,,"Each event-definition element contains an event-type-name-element, an event-type-vendor element, and an event-type-version element. ",,,,,,,
211,"3.2.1","1.2","Pfd2","Context",,,"These elements uniquely identify the event type.",,"The uniqueness is tested by 1539",,,,,
212,"3.2.1","1.3","Pfd2","DD Structure",,,"Each event-definition element contains an event-class-name element. This element identifies the Java class associated with the event type.",,,,,,,
213,"3.2.2","2","Pfd2","Ap Recom",,,"To ease distribution and deployable unit assembly, the SLEE specification recommends that the SBB Developer distribute these files in an event jar file.",,,,,,,
214,"3.2.3","1.1","Pfd2","Ap Req",,,"The event jar file includes an event jar deployment descriptor.",,,,,,,
215,"3.2.3","1.1.1","Pfd2","Ap Req",,,"The event jar deployment descriptor is stored with the name META-IN-event-jar.xml in the event jar file.",,,,,,,
